FIPS,STATE,NNC,NNR,NNN,NNA,NMC,NMR,NMN,NMA,CNC,CNR,CNN,CNA,CMC,CMR,CMN,CMA
17101,Illinois,-36.880537,0,56.6359812,27.47352817,281.0065304,316.6268776,322.7908619,317.7655319,306.5467601,323.8443189,381.5241801,353.0111655,547.4191111,580.8126667,698.6324536,640.5039353
17103,Illinois,-66.6675842,0,79.37246734,37.62518892,7.70041326,70.48877266,109.6854584,87.31984017,104.5998131,174.3720907,278.7057088,224.8759507,221.8632469,258.2843308,364.8259083,311.8971051
17105,Illinois,-63.71503414,0,76.89770906,36.50326324,43.474666,101.0693314,134.4211106,115.1463761,235.2280787,262.8219107,349.4167502,306.5149418,333.7574543,374.6421683,462.0473097,417.9806292
17107,Illinois,-66.3392172,0,80.20840061,38.08181305,64.66193654,142.9953291,173.7122193,154.4788835,275.6007543,306.9523357,395.0781112,351.2262855,423.7900025,451.0440856,559.0590362,505.9647607
17109,Illinois,-66.02541732,0,77.12863354,36.48875415,41.614553,100.0063801,132.465319,113.569564,256.8247263,285.6511387,373.4324117,329.8927513,361.5623641,395.4027717,491.3146757,443.6049034
17111,Illinois,-55.4975718,0,75.754623,36.38652053,252.4649717,296.1057099,329.4830183,311.0135002,108.3218201,183.6739446,270.5404569,224.7115571,402.2249253,445.0826165,519.8849607,481.711286
17113,Illinois,-67.965032,0,82.24868281,39.05412283,15.2521576,77.90536067,116.2992813,94.32431086,249.0859182,280.8629188,368.3278707,324.7661827,326.3024635,374.7206803,460.2256358,416.6236035
17115,Illinois,-69.96350461,0,77.68680127,36.550123,37.58152907,99.6553484,130.6780985,112.2513864,245.6279847,213.8260941,298.0853939,259.7763505,378.8909293,342.3937375,422.1105985,386.2422725
17117,Illinois,-55.30062094,0,75.20505086,36.11050231,24.3782312,76.55541074,110.8959701,91.46716281,328.9318303,355.8381109,438.4849922,397.505709,423.534464,449.7418749,528.9238683,489.6374621
17119,Illinois,-38.1697968,0,66.58335472,32.60281595,161.1540729,194.0641269,219.7812965,205.5924459,368.7069584,391.5937021,462.4817428,427.3441234,540.0368187,633.1148448,697.2187997,661.2039595
17121,Illinois,-37.64870634,0,59.18303546,28.76123744,228.7633893,266.2014081,304.2351338,283.9089374,338.1282701,356.6006829,421.1859693,389.3118664,560.6354138,623.6452171,748.1108729,685.0789845
17123,Illinois,-66.48233094,0,79.43915647,37.67093467,100.002886,149.3901575,183.5432703,164.3672572,208.7386957,257.4928879,345.2206489,300.5391791,370.4135661,390.2620861,503.1878185,448.1860522
17125,Illinois,-56.23670567,0,72.4883852,34.63421535,104.8722521,141.0098618,172.4031744,155.3190724,262.2547355,306.3340297,389.4141739,347.2223716,411.6306511,438.6296724,534.8870638,487.4133272
17127,Illinois,-23.33124346,0,48.3749034,23.94473223,495.9955563,528.2403907,430.1505179,475.0275541,415.6543948,442.0584247,493.7088251,467.5370136,828.2383291,876.9279404,1005.339165,941.2650087
17129,Illinois,-66.39568394,0,78.8255006,37.35492429,198.9971635,243.0502161,271.4074168,255.3071602,293.1589423,334.8663019,425.8406373,380.0240997,531.9614633,566.8354427,687.7927303,628.0816403
17131,Illinois,-65.36429126,0,80.5844916,38.3357057,96.58503434,155.7522479,185.4708364,167.8361656,241.0696722,283.6947459,392.0080267,337.8711216,409.9267319,435.3527441,494.8113249,464.9741328
17133,Illinois,-32.8408494,0,57.4887264,28.15634922,248.1033439,279.5922184,310.1214254,293.721611,380.4207883,402.4923369,470.5940481,436.8326066,613.9269046,640.9530038,797.7060892,721.3885099
17135,Illinois,-56.44236454,0,73.59586393,35.20163948,56.32340913,136.2258226,163.2940735,145.7083733,299.9366843,326.1666111,404.1034585,365.409376,430.9474597,490.9987893,564.3617186,525.8671447
17137,Illinois,-65.990787,0,79.53344113,37.74906114,76.13356119,133.7751451,164.284697,146.3622899,278.6622597,332.1628477,422.2106793,376.1450474,430.0979825,462.4666349,539.4949247,500.874419
17139,Illinois,-66.09478592,0,76.28433421,36.04292412,225.8397914,290.4928094,332.8713777,308.8795206,286.2645531,241.8022405,316.6454601,283.5672958,518.9097295,572.5223741,597.9528091,582.6879551
17141,Illinois,-69.10745486,0,80.459647,38.05111706,37.65924614,103.1627785,136.3716863,116.7017853,98.28101668,163.4200362,277.9325155,219.5212333,244.0358234,278.5401786,350.0769898,313.949527
17143,Illinois,-67.19997906,0,84.78817374,40.42768722,81.33730068,163.7239621,192.9216973,174.1752112,233.6836585,281.6119903,374.2651249,327.2837841,406.1248817,430.2102278,540.8917433,486.7117589
17145,Illinois,-21.9237324,0,50.74629708,25.26797599,158.5459198,177.9991359,194.8377545,185.6701598,414.2087487,432.2532302,489.2646225,461.0265578,565.4608257,643.2989307,708.7561553,672.9888412
17147,Illinois,-68.54122292,0,82.05197901,38.91744871,131.5400925,178.8496061,211.5056362,193.1650906,262.3587327,297.7767956,383.9894991,340.8115552,441.6381053,484.7802844,575.8603065,529.9093329
17149,Illinois,-56.49200132,0,73.06866827,34.92288489,28.07998808,74.47691881,108.4606057,89.54053615,338.3007431,366.2232563,455.6824298,411.3957526,431.5776901,458.9560171,543.117476,501.3884432
17151,Illinois,-13.916151,0,46.7105738,23.62541121,629.4536748,617.2075382,399.5680378,504.0483808,452.5625253,483.8432207,537.2958825,509.9791516,1076.202221,1005.956171,986.8485485,1000.073249
17153,Illinois,-26.1108462,0,52.4448658,25.91145467,265.9750911,291.9445953,316.8884171,303.4748329,404.3395375,431.8708675,489.8776553,460.6093034,652.8012725,681.4508922,837.0915464,761.2092339
17155,Illinois,-67.21060066,0,82.78778134,39.38039061,103.8232989,148.4685734,247.4343131,197.635654,209.5084513,258.7953682,356.6478179,307.1080407,434.4078546,466.8350779,523.1169894,494.3842091
17157,Illinois,-25.42636506,0,53.26148908,26.37883546,179.2495241,198.331142,216.8847448,206.9212723,410.2122107,432.4736581,490.4626937,461.5115027,586.3685581,637.180385,746.7137111,691.51557
17159,Illinois,-33.16906252,0,55.11066554,26.89283966,316.9613115,353.2395955,337.4832588,342.87024,346.0291261,363.3137057,419.9791768,391.9505486,611.3248081,646.6751298,762.8224727,705.3766952
17161,Illinois,-66.77804086,0,81.79782708,38.88775065,301.665395,348.9644409,383.1800539,364.0965662,224.3888466,267.3601301,382.2931334,324.9798932,531.4439137,567.9157611,662.3334222,615.1819098
17163,Illinois,-35.2926648,0,61.6966932,30.21448134,254.7946871,288.0705573,319.6270573,302.6327871,387.5688887,411.0552367,475.8387893,443.5764556,633.0665313,665.7630378,823.1498071,746.1979503
17165,Illinois,-30.0276728,0,56.6101856,27.86145552,312.2440148,343.4501979,372.5358703,356.8408427,392.4212174,415.3950187,480.9977505,448.3748842,660.7608329,688.6943437,826.1635656,758.9867121
17167,Illinois,-68.65792292,0,11.08030187,1.775778837,6.08280294,71.33355061,44.87932347,53.66955111,239.6990626,227.6742654,309.4102895,271.1457616,345.2995435,329.0628366,407.8988687,371.2636805
17169,Illinois,-59.4789178,0,71.9969826,34.18717544,32.9816438,83.97581828,114.2682894,96.83876835,306.9907454,340.8862907,428.2098865,384.5914929,399.8019657,426.0892283,529.4907747,478.652645
17171,Illinois,-59.71537194,0,76.78586333,36.6790324,206.5338415,258.0945647,289.6085389,271.5634603,331.7833334,383.4362864,474.3422873,427.97574,579.3991932,619.3327284,726.3919912,673.0106225
17173,Illinois,-56.26702814,0,71.67585406,34.20729476,96.6699684,137.3101036,165.3136987,149.5819497,288.1747885,313.7052973,390.5318987,352.4081134,450.1614609,478.4014296,550.5509429,514.4983178
17175,Illinois,-68.79409106,0,82.37501987,39.07166244,238.7033766,302.6760545,336.5441549,316.6496475,178.4379435,218.5179117,327.6294829,273.2610668,473.3310127,504.0794297,596.8951909,550.8426739
