FIPS,STATE,NNC,NNR,NNN,NNA,NMC,NMR,NMN,NMA,CNC,CNR,CNN,CNA,CMC,CMR,CMN,CMA
17173,Illinois,-64.57,0.00,87.86,-12.82,91.83,164.87,259.02,149.91,464.98,623.88,757.56,585.20,626.06,803.11,912.45,756.60
17175,Illinois,-78.64,0.00,97.61,-16.43,247.24,341.63,448.31,321.01,216.55,417.00,596.17,369.12,565.42,741.00,969.69,705.25
17177,Illinois,-79.47,0.00,95.49,-16.87,110.69,195.93,295.39,177.57,110.80,296.85,480.37,253.90,287.84,494.21,673.63,444.48
17179,Illinois,-77.05,0.00,96.97,-15.98,130.94,217.64,324.16,199.43,291.27,506.28,672.22,452.66,531.25,757.62,901.43,698.49
17181,Illinois,-45.86,0.00,62.25,-9.12,267.48,317.91,384.97,307.76,489.83,633.01,744.33,597.37,792.52,914.60,1027.73,885.78
17183,Illinois,-67.00,0.00,84.53,-13.88,31.86,102.05,189.58,87.42,314.53,495.84,639.22,450.92,407.88,609.71,742.52,557.39
17185,Illinois,-53.70,0.00,70.49,-10.89,621.81,668.41,717.83,657.95,461.15,611.59,720.89,573.48,960.48,1055.95,1218.51,1039.81
17187,Illinois,-76.64,0.00,95.75,-15.95,55.55,135.79,234.37,118.94,286.76,503.68,658.48,448.49,418.29,653.92,802.25,592.26
17189,Illinois,-49.52,0.00,66.47,-9.91,200.51,258.84,332.24,246.74,472.68,618.08,728.29,581.65,770.92,858.59,978.17,841.21
17191,Illinois,-49.82,0.00,66.49,-10.00,91.97,145.26,214.84,134.42,479.87,622.30,721.53,585.85,629.12,760.42,870.60,728.44
17193,Illinois,-53.06,0.00,70.94,-10.64,126.97,184.19,258.30,172.51,481.55,641.60,749.13,600.30,676.58,821.75,926.92,784.95
17195,Illinois,-73.86,0.00,91.79,-15.42,80.84,159.81,258.23,143.35,187.49,373.71,541.18,329.32,335.24,539.81,705.93,489.50
17197,Illinois,-66.29,0.00,82.62,-13.82,276.20,355.70,462.01,339.75,248.96,419.57,575.35,379.10,606.65,789.58,914.47,742.55
17199,Illinois,-44.20,0.00,59.16,-8.86,195.39,245.07,309.38,234.92,490.05,625.11,726.56,591.18,754.80,846.18,952.38,826.47
17201,Illinois,-73.34,0.00,89.23,-15.48,349.54,430.61,550.81,415.37,163.28,346.03,515.24,302.88,582.34,722.09,949.17,697.53
17203,Illinois,-72.42,0.00,92.50,-14.90,102.37,184.25,286.84,167.23,252.34,452.25,618.37,403.42,458.98,631.80,822.41,593.64
18001,Indiana,-66.54,0.00,83.44,-1.25,245.93,292.54,343.71,289.84,318.97,497.33,643.77,474.61,841.82,862.87,940.70,875.37
18003,Indiana,-64.97,0.00,81.74,-1.16,324.18,405.67,451.46,390.00,285.65,455.09,606.79,436.66,688.36,842.94,905.97,807.23
18005,Indiana,-58.19,0.00,79.34,0.50,277.04,356.24,446.92,352.58,338.14,491.37,624.42,473.67,708.42,847.49,923.79,820.27
18007,Indiana,-71.42,0.00,88.11,-1.71,317.14,395.73,478.94,390.40,277.16,477.20,619.41,446.20,675.41,848.43,1028.85,836.01
18009,Indiana,-64.40,0.00,80.66,-1.24,154.86,230.27,319.38,227.48,322.61,497.52,638.51,474.58,528.77,668.93,820.91,660.33
